country_code	domain_code	actual
US	0018d00000VMJIvAAP	4957
AE	0018d00000WD93WAAT	4940
VN	0018d00000K0Yo6AAF	4923
SG	001Pz000005lw0sIAA	4900
VN	0018d00000K0aJnAAJ	4900
FR	0018d00000K0cGJAAZ	4898.802826
TR	0018d00000T4GXmAAN	4885.909
PL	0018d00000K0XXzAAN	4875.851124
VN	0018d00000K0cNPAAZ	4869
FR	0018d00000K0VLtAAN	4868.509505
NL	0018d00000K0b8nAAB	4868.509181
FR	0018d00000K0Y4uAAF	4867.752274
MY	001Pz000001pAzFIAU	4863.787484
TH	0018d00000K0WfPAAV	4862
AE	0018d00000O93s3AAB	4861
MY	0018d00000K0UoAAAV	4851.305055
TR	0018d00000K0c2gAAB	4850.819698
TR	0018d00000K0YPPAA3	4836.446538
FR	0018d00000K0c6GAAR	4806.842335
ID	0018d00000K0YITAA3	4792.124476
BR	0018d00000KPuL7AAL	4776.975081
AU	0018d00000K0a3CAAR	4714.497887
TR	0018d00000K0UtmAAF	4686.782845
PH	0018d00000K0c9mAAB	4672
PL	001Pz0000063aBdIAI	4652.1311
NL	0018d00000K0b0RAAR	4646.722001
AU	0018d00000K0Z3OAAV	4639.779026
ID	0018d00000K0YbkAAF	4639.2965
TR	0018d00000K0Ur3AAF	4635.978092
TR	0018d00000K0UGCAA3	4624.291958
UK	0018d00000K0Xg6AAF	4622.869586
PL	001Pz000009hLC5IAM	4588.144
TR	0018d00000K0XCZAA3	4578.049112
AU	0018d00000K0Z7IAAV	4558.50556
BR	0018d00000K0bYUAAZ	4545.667763
UK	0018d00000cc3CPAAY	4530.89186
TR	0018d00000K0WGDAA3	4530.587346
US	0018d00000K0Tr3AAF	4500
US	0018d00000K0aHrAAJ	4500
SG	0018d00000K0bclAAB	4457
BR	0018d00000LbkulAAB	4456.871736
TR	0018d00000K0c2eAAB	4446.13155
UK	001Pz000004Ym9aIAC	4433.873337
BR	0018d00000ewHPVAA2	4432.491265
ES	0018d00000K0UPnAAN	4389.231759
TR	0018d00000K0UM2AAN	4374.329854
TR	0018d00000K0XmwAAF	4374.329671
VN	0018d00000K0bBBAAZ	4337
NL	0018d00000PQQauAAH	4314.580928
KR	0018d00000K0YFTAA3	4304.361643
TR	0018d00000K0bDYAAZ	4289.030825
BR	0018d00000K0VljAAF	4261.440078
AE	0018d00000K0XbEAAV	4246
TR	0018d00000hDzcBAAS	4233.725939
TH	0018d00000hDXMMAA4	4211.587668
VN	0018d00000K0X94AAF	4207
MY	0018d00000K0NIOAA3	4200
ES	001Pz000003LUJ9IAO	4195.573361
KR	0018d00000l5JORAA2	4191.129
ES	0018d00000K0aKWAAZ	4190.163922
AU	0018d00000T38t7AAB	4178.357236
ID	0018d00000cbPZ7AAM	4167
BR	0018d00000KPkgWAAT	4161.147024
TH	0018d00000K0YpnAAF	4150
VN	0018d00000K0YfFAAV	4141
TR	0018d00000K0UwyAAF	4139.990782
BR	0018d00000K0aFzAAJ	4102.478502
VN	0018d00000K0Uf2AAF	4100
TR	0018d00000K0bTSAAZ	4097.809741
PL	0018d00000K0ZQ8AAN	4097.404444
UK	0018d00000K0WvUAAV	4094.93838
TR	0018d00000K0XVUAA3	4083.562544
TR	0018d00000K0X8IAAV	4073.814011
BR	0018d00000K0ahJAAR	4062.043673
TR	0018d00000K0ZYfAAN	4059.06531
FR	0018d00000K0UGWAA3	4057.091249
TR	001Pz000005vUWPIA2	4049.379397
KR	0018d00000K0aSZAAZ	4044.071935
BR	0018d00000K0YMiAAN	4037.862778
BR	0018d00000K0TtfAAF	4030.132441
TW	001Pz0000075us2IAA	4030.041005
VN	0018d00000K0Z1xAAF	4016
TR	0018d00000K0a7wAAB	4015.82339
US	0018d00000fQAJxAAO	4000
TW	0018d00000K0amMAAR	4000
BR	0018d00000K0ZQDAA3	3997.627275
BR	0018d00000K0XvCAAV	3964.130992
BR	0018d00000hBuKNAA0	3964.129594
TW	001Pz000006d1k0IAA	3962.544114
TR	0018d00000K0Uh5AAF	3955.112559
SG	0018d00000K0UK7AAN	3949
NL	0018d00000K0ZRlAAN	3943.492596
AU	0018d00000K0Uc7AAF	3932.571781
TW	001Pz000009FFPlIAO	3932.443216
AE	0018d00000K0YUgAAN	3916
TW	0018d00000VMR1iAAH	3912.660554
AE	0018d00000K0XReAAN	3911
PL	0018d00000K0WTFAA3	3894.807194
SG	0018d00000K0dGSAAZ	3890
PL	0018d00000K0XVQAA3	3889
TR	0018d00000K0QmaAAF	3852.377707
ID	0018d00000K0as8AAB	3840
TR	001Pz000002P9BvIAK	3835.350265
MX	001Pz000003A0oNIAS	3815
NL	0018d00000OlWIDAA3	3811.502102
AU	0018d00000K0aTGAAZ	3808.669208
TR	0018d00000K0YeYAAV	3794.262344
TR	0018d00000K0bBfAAJ	3790.76281
NL	0018d00000K0bvDAAR	3786.61896
TW	001Pz0000075XU3IAM	3751.521579
TR	0018d00000K0Y2IAAV	3735.053481
BR	0018d00000K0U19AAF	3730.841422
TR	0018d00000T4GXuAAN	3718.366
VN	0018d00000K0c9tAAB	3711
AE	0018d00000K0U9iAAF	3690
UK	0018d00000K0XgnAAF	3675.12
PL	0018d00000K0amJAAR	3668.336359
TR	0018d00000K0TvqAAF	3660.376714
AU	0018d00000K0WvRAAV	3644.589224
TR	0018d00000T4GWGAA3	3632.531
NL	0018d00000k10OWAAY	3630.826184
TR	0018d00000K0cLtAAJ	3612.103192
AE	0018d00000K0bLqAAJ	3600
AE	0018d00000K0XRSAA3	3600
TR	0018d00000K0YEbAAN	3593.1996
KR	0018d00000WBdfqAAD	3588.194096
TR	001Pz000009heMtIAI	3579.638581
MY	0018d00000K0akhAAB	3571.249592
FR	0018d00000K0VEYAA3	3570.239894
ID	0018d00000K0Y8rAAF	3570
TR	0018d00000T4GXvAAN	3551.331
TR	0018d00000K0WIwAAN	3542.768801
TR	0018d00000K0UNmAAN	3539.926225
US	0018d00000K0Zc2AAF	3525
TW	0018d00000K0WeUAAV	3521.394646
TR	0018d00000K0beHAAR	3507.275421
TH	0018d00000K0VJ0AAN	3500
TR	0018d00000Xf58IAAR	3499.464405
TW	0018d00000K0bV0AAJ	3495
JP	0018d00000K0cPAAAZ	3485.658567
BR	0018d00000fQ3KMAA0	3484.866909
ES	0018d00000K0X9UAAV	3484.770915
ID	0018d00000K0U04AAF	3481
PL	0018d00000K0Zm8AAF	3480.618193
TR	0018d00000K0XgbAAF	3473.186744
UK	0018d00000eeQc2AAE	3464.947054
FR	0018d00000K0VVuAAN	3462.051454
FR	0018d00000T4CrNAAV	3462.051095
TR	0018d00000K0ZYHAA3	3452.597188
TW	0018d00000K0a4TAAR	3443.140938
TR	0018d00000ewNVOAA2	3433.849
HK	0018d00000K0c9sAAB	3427
BR	0018d00000RlWeIAAV	3415.494644
TW	0018d00000K0bEjAAJ	3402.31379
SG	0018d00000K0TifAAF	3399
TR	0018d00000K0TziAAF	3393.230589
AE	0018d00000K0a2TAAR	3367
PL	0018d00000etYwsAAE	3359.943173
TW	001Pz000006X8t1IAC	3358.784274
TR	0018d00000ifudrAAA	3355.735847
TR	0018d00000K0XxrAAF	3355.735847
BR	0018d00000K0ZEQAA3	3349.689456
RU	0018d00000K0VHKAA3	3347.565
US	0018d00000K0TnVAAV	3333
TR	001Pz00000Aqp2HIAR	3300.87043
TH	0018d00000K0ZGeAAN	3300
TW	0018d00000K0TvcAAF	3286.634841
BR	0018d00000K0bfgAAB	3277.542746
UK	001Pz000002TmPxIAK	3275.950594
